year,city,state,lat,long,total_pop,violent_crime,homs_sum,rape_sum,rob_sum,agg_ass_sum
1977,New York,New York,40.7127837,-74.0059413,7481613,121916,1557,3899,74404,42056
1977,Newark,New Jersey,40.735657,-74.1723667,351412,6175,92,324,3203,2556
1977,Oakland,California,37.8043637,-122.2711137,339264,5764,94,366,3037,2267
1977,Oklahoma City,Oklahoma,35.4675602,-97.5164276,373570,2695,67,251,775,1602
1977,Omaha,Nebraska,41.2523634,-95.9979883,367281,1918,31,172,809,906
1977,Orlando,Florida,28.5383355,-81.3792365,118374,1143,15,85,274,769
1977,Philadelphia,Pennsylvania,39.9525839,-75.1652215,1897706,12047,323,771,6999,3954
1977,Phoenix,Arizona,33.4483771,-112.0740373,682200,4295,70,316,1594,2315
1977,Pittsburgh,Pennsylvania,40.4406248,-79.9958864,482413,4572,52,252,2539,1729
1977,Portland,Oregon,45.5230622,-122.6764816,385230,3973,41,337,1703,1892
1977,Raleigh,North Carolina,35.7795897,-78.6381787,152840,571,10,39,120,402
1977,Sacramento,California,38.5815719,-121.4943996,265220,2915,41,205,1276,1393
1977,Salt Lake City,Utah,40.7607793,-111.8910474,180122,1064,12,112,479,461
1977,San Antonio,Texas,29.4241219,-98.4936282,764217,3755,146,273,1460,1876
1977,San Diego,California,32.715738,-117.1610838,788621,4414,50,298,2481,1585
1977,San Francisco,California,37.7749295,-122.4194155,676625,9367,141,595,5423,3208
1977,San Jose,California,37.3382082,-121.8863286,568303,2670,41,322,1031,1276
1977,Seattle,Washington,47.6062095,-122.3320708,500000,4156,35,370,1764,1987
1977,St. Louis,Missouri,38.6270025,-90.1994042,512059,9726,195,473,4943,4115
1977,Tampa,Florida,27.950575,-82.4571776,264848,3194,31,195,1062,1906
1977,Tucson,Arizona,32.2217429,-110.926479,306500,1578,35,116,550,877
1977,Tulsa,Oklahoma,36.1539816,-95.992775,352674,1850,28,172,489,1161
1977,Virginia Beach,Virginia,36.8529263,-75.977985,235324,463,16,80,152,215
1977,Washington,District of Columbia,38.9071923,-77.0368707,690000,9843,192,402,6655,2594
1977,Wichita,Kansas,37.688889,-97.336111,261732,1397,34,121,715,527
1978,Albuquerque,New Mexico,35.0853336,-106.6055534,291834,2434,37,187,694,1516
1978,Arlington,Texas,32.735687,-97.1080656,121750,450,6,43,132,269
1978,Atlanta,Georgia,33.7489954,-84.3879824,456000,8845,144,592,4119,3990
1978,Aurora,Colorado,39.7294319,-104.8319195,131499,831,12,83,232,504
1978,Aurora,Illinois,41.7605849,-88.3200715,131499,831,12,83,232,504
1978,Austin,Texas,30.267153,-97.7430608,331557,1413,35,194,635,549
1978,Baltimore,Maryland,39.2903848,-76.6121893,781730,14659,197,554,8097,5811
1978,Boston,Massachusetts,42.3600825,-71.0588801,616225,10035,72,475,5635,3853
1978,Buffalo,New York,42.8864468,-78.8783689,391695,3181,44,221,1721,1195
1978,Chicago,Illinois,41.8781136,-87.6297982,3086699,27686,787,1341,15233,10325
1978,Cincinnati,Ohio,39.1031182,-84.5120196,405324,3303,57,287,1300,1659
1978,Cleveland,Ohio,41.49932,-81.6943605,614512,9697,213,507,6354,2623
1978,Columbus,Georgia,32.4609764,-84.9877094,578338,3353,67,309,1923,1054
1978,Columbus,Ohio,39.9611755,-82.9987942,578338,3353,67,309,1923,1054
1978,Dallas,Texas,32.7766642,-96.7969879,871832,9884,230,822,3835,4997
1978,Denver,Colorado,39.7392358,-104.990251,485547,4877,97,577,2362,1841
1978,Detroit,Michigan,42.331427,-83.0457538,1294359,21602,498,1288,12283,7533
1978,El Paso,Texas,31.7775757,-106.4424559,399000,1490,21,121,775,573
1978,Fort Worth,Texas,32.7554883,-97.3307658,375860,2670,86,265,1218,1101
1978,Fresno,California,36.7468422,-119.7725868,194774,1997,42,114,1102,739
1978,Honolulu,Hawaii,21.3069444,-157.8583333,725259,2044,38,187,1473,346
1978,Houston,Texas,29.7604267,-95.3698028,1486489,10852,484,1098,7352,1918
1978,Indianapolis,Indiana,39.768403,-86.158068,513271,3733,76,341,1963,1353
1978,Jacksonville,Florida,30.3321838,-81.655651,523199,4368,79,278,1347,2664
1978,Kansas City,Missouri,39.0997265,-94.5785667,463931,5029,115,342,1864,2708
1978,Las Vegas,Nevada,36.1699412,-115.1398296,288865,2886,54,192,1548,1092
1978,Long Beach,California,33.7700504,-118.1937395,344154,3688,68,246,2130,1244
